"CPF","NOME","ENDERECO1","ENDERECO2","BAIRRO","CIDADE","ESTADO","CEP","IDADE","SEXO","LIMITE_CREDITO","VOLUME_COMPRA","PRIMEIRA_COMPRA","DT_NASCIMENTO"
"52992305305",PALOMA FERREIRA SOBREIRA XAVIER,"AVENIDA DAS NAÇÕES, n.433","AVENIDA LUIZ BRANCODE MIRANDA SOBRINHO, n.340",PARQUE TAQUARAL,RIO SONO ,PIAUÍ,"72526290",26,M,2398.27,689.03,1,"1997-11-13"
"53390152147",EDUARDO ALMEIDA MANHA,"ALAMEDA MARGARIDAS, n.271","ALAMEDA GARDÊNIAS, n.238",JARDIM AURÉLIA,FLORIANO PEIXOTO ,ALAGOAS,"59615694",26,F,3105.74,544.62,0,"1997-12-03"
"53975309560",MARIA LEUDA DA CONCEIÇÃO,"AVENIDA JOSÉ MANOEL RIBEIRO, n.169","AVENIDA NAÇÕES, n.236",JARDIM CHAPADÃO,TRACUATEUA ,MATO GROSSO,"28838256",36,F,4816.22,1830.05,1,"1988-02-18"
"54203484825",CASSIA APARECIDA SILVA,"RUA ALCEBIADES BORTOLINI, n.94","RUA AFONSO GRISI, n.71",JARDIM PLANALTO,COXIXOLA ,SÃO PAULO,"94336741",27,F,2828.73,3856.32,1,"1997-02-14"
"54213323700",SUELI TAVARES DO ROSÁRIO,"RUA ALÉCIO ADANI, n.6","CAMINHO DOS CURIÓS, n.176",PARQUE DOS POMARES,SÃO JOÃO DO TIGRE ,ACRE,"66179710",23,M,3069.87,2391.06,1,"2000-11-20"
"55614569375",JÉSSICA DA SILVA ARAÚJO,"CAMINHO DOS CARDEAIS, n.108","AVENIDA MÉDICI, n.448",JARDIM CONCEIÇÃO,CARIRIAÇU ,RONDÔNIA,"70508754",25,M,3679.2,3806.84,0,"1998-04-18"
"55684099365",JOSILENE PEREIRA DE SOUZA,"RUA ALCEBIADES BORTOLINI, n.238","AVENIDA ATALIBA PENTEADO, n.476",JARDIM SÃO CARLOS,SARAPUÍ ,PERNAMBUCO,"82413307",60,M,1251.07,2568.26,1,"1963-08-08"
"55730104874",MILIANE DE OLIVEIRA MENDES RAMOS,"PRAÇA CAJUEIROS, n.50","PRAÇA LARANJEIRAS, n.30",JARDIM CAMPINAS,DERRUBADAS ,DISTRITO FEDERAL,"14933823",22,M,2243.6,3730.94,0,"2001-06-06"
"56665957592",NÍZIA FLORESTA DE OLIVEIRA SOUSA,"ALAMEDA ARAUCÁRIAS, n.69","ALAMEDA CARLOS F. GRUNINGER, n.301",PARQUE SÃO JORGE,ITAGUATINS ,TOCANTINS,"58263325",38,M,4220.45,4663.58,1,"1985-11-07"
"57999503748",NATALIA MOTA PEREIRA,"ALAMEDA BEM-TE-VI, n.391","AVENIDA DAS FLORES, n.53",JARDIM MARISA,ISRAELÂNDIA ,PARAÍBA,"27023581",42,M,4435.69,4889.46,0,"1981-08-09"
"58228568586",VALQUIRIA AMÉLIA BARBOSA,"RUA ALVARO BARBOSA, n.170","RUA AFFONSO BAPTISTA, n.374",JARDIM SÃO PEDRO,FORMIGUEIRO ,RONDÔNIA,"50590495",42,M,2273.48,3957.55,1,"1981-05-03"
"58699872017",FANNY DE PINHO BURATO,"AVENIDA DOUTOR IVO XAVIER FERREIRA, n.343","RODOVIA EUBERTO NEMÉSIO PEREIRA DE GODOY, n.87",VILA GÊNESIS,FORTALEZA DOS NOGUEIRAS ,PARANÁ,"87012689",40,F,3264.31,2690.19,0,"1983-08-20"
"58783502465",ELAINE HONÓRIO SANTOS,"RUA 7 DE SETEMBRO, n.334","RODOVIA EUBERTO NEMÉSIO PEREIRA DE GODOY, n.64",JARDIM OURO BRANCO,SERINGUEIRAS ,MATO GROSSO,"22496455",23,M,2617.14,1187.71,0,"2000-09-26"
"59393835906",DEISE FERREIRA SILVA,"ALAMEDA DOS CORIMBATAS, n.383","CAMINHO DOS BEIJA-FLORES, n.367",JARDIM PACAEMBU,CARAPICUÍBA ,RIO GRANDE DO SUL,"24635634",66,M,1072.72,4273.53,0,"1958-01-17"
"59472731245",JOSIANE DE OLIVEIRA NASCIMENTO,"RUA ALBERTINA DE SOUZA AGUIAR, n.346","PASSEIO DOS PIONEIROS, n.451",PARQUE SÃO JORGE,UBAITABA ,MARANHÃO,"64314369",65,M,3095.79,131.29,1,"1958-11-21"
"60516736615",CRISTIANE APARECIDA SALUSTIANO SILVA,"ALAMEDA DOS GUARANIS, n.135","ALAMEDA AÇUCENAS, n.281",SÃO BERNARDO,BALNEÁRIO ARROIO DO SILVA ,PIAUÍ,"42950088",44,F,3684.78,1482.04,0,"1980-01-03"
"60969908513",LAURA ROA DE ALMEIDA,"RUA ALMIRO GODINHO, n.206","PRAÇA FERNANDO COSTA, n.212",VILA AUROCAN,VITÓRIA DE SANTO ANTÃO ,MARANHÃO,"57405510",80,M,4888.5,4259.95,1,"1943-06-27"
"61574454550",MONIQUE RODRIGUES FERNANDES,"RUA 7 DE SETEMBRO, n.340","ESTRADA LEVY RAMOS, n.4",VILA NOVA,ITAMBARACÁ ,RIO GRANDE DO SUL,"80615820",27,M,1810.24,3676.27,1,"1996-12-07"
"63951210804",NATÁLIA DE OLIVEIRA REQUENA,"ALAMEDA SIBIPIRUNAS, n.391","RUA ÁLVARO BARBOSA, n.168",JARDIM AURÉLIA,ABELARDO LUZ ,SANTA CATARINA,"73706887",56,F,2496.95,842.0,1,"1967-12-18"
"64747591176",MAYRA PACHECO,"ESTRADA AGUAI PIRASSUNUNGA SP 225, n.3","AVENIDA TENENTE OLYMPIO GUIGUER, n.496",MANSÕES SANTO ANTÔNIO,JUNQUEIRÓPOLIS ,GOIÁS,"68898656",40,F,3569.33,560.26,0,"1983-05-17"
"64851491675",JÉSSICA ABIGAIL LAGARES SANTOS,"CAMINHO SERIEMAS, n.287","RUA ALÉCIO ADANI, n.236",JARDIM FERNANDA II,SERICITA ,ACRE,"11600509",62,F,3613.21,258.03,1,"1962-03-07"
"65461908595",JESSICA FRANÇA OLIVEIRA,"AVENIDA DOS ACADÊMICOS, n.92","ALAMEDA DOS CORIMBATAS, n.306",VILA TEIXEIRA,SÃO FRANCISCO ,TOCANTINS,"04745657",27,M,2619.06,4568.6,0,"1996-11-19"
"65955354699",GYOVANNA RAQUEL COELHO QUINZINHO,"CAMINHO DAS GARÇAS, n.13","ALAMEDA DOS TAMÔIOS, n.148",JARDIM DAS PALMEIRAS,MATINHAS ,DISTRITO FEDERAL,"22560820",55,F,2421.83,304.11,1,"1968-11-02"
"67386379226",ARIANE MATHIAS,"RUA ADOLPHO TRAPANI, n.452","AVENIDA JOSÉ P. C. ALBUQUERQUE, n.109",VILA FORMOSA,SÃO JOÃO DE IRACEMA ,BAHIA,"65851193",47,M,1311.33,2422.34,1,"1976-08-02"
"67483249548",MARIA RODRIGUES DA SILVA,"AVENIDA ANTÔNIO JOAQUIM MENDES, n.367","AVENIDA PAINGUÁS, n.301",VILA GÊNESIS,FRANCISCO DANTAS ,DISTRITO FEDERAL,"49432934",59,F,3628.78,2508.22,1,"1964-05-29"
"67941502084",GREICE QUELE ALVES DOS SANTOS,"PRAÇA SANTOS DUMONT, n.394","AVENIDA PRESIDENTE MÉDICI, n.329",JARDIM ITAIÚ,SÃO JOSÉ DO INHACORÁ ,SERGIPE,"61844790",71,F,2670.18,3336.18,0,"1953-01-08"
"68264647704",KEYRIS COELHO DE SOUZA,"ALAMEDA UIRAPURU, n.85","AVENIDA JOAQUIM DUARTE DE OLIVEIRA, n.433",ALTO DO TAQUARAL,SÃO JOÃO DA BOA VISTA ,DISTRITO FEDERAL,"83757960",33,F,3366.06,3666.28,1,"1990-08-10"
"69524516875",TAYNARA SOUZA NASCIMENTO SILVA,"CAMINHO DOS BICUDOS, n.334","ALAMEDA DOS MANACÁS, n.176",JARDIM PACAEMBU,CHUPINGUAIA ,DISTRITO FEDERAL,"01955488",35,F,4055.07,3620.11,0,"1988-08-26"
"70018935035",PATRICIA MERCEDES MANOEL VASCONCELOS,"AVENIDA MIGUEL ÂNGELO DEVITTE, n.477","ALAMEDA UIRAPURU, n.273",VILA MIMOSA,MARAJÁ DO SENA ,AMAZONAS,"68456890",76,M,1365.93,2803.19,1,"1947-12-10"
"70682094660",ANGELA MARIA DA SILVA DANTAS,"ALAMEDA BEIJA-FLOR, n.239","PRAÇA DOS BANDEIRANTES, n.85",RECANTO DOS DOURADOS,SUD MENNUCCI ,AMAZONAS,"98100328",58,F,4771.09,413.55,1,"1966-03-10"
"71443816482",ROSELI CRISTINA DA CUNHA OLIVEIRA,"ALAMEDA CURIÓ, n.304","ALAMEDA CABRIUVAS, n.381",JARDIM MADALENA,ITURAMA ,ACRE,"82686576",74,F,2514.44,4778.52,1,"1950-04-01"
"71790961360",ADRIANA BERNARDES,"AVENIDA FLORES, n.400","AVENIDA TENENTE OLYMPIO GUIGUER, n.75",VILA CAMPOS SALES,AVELINO LOPES ,ESPÍRITO SANTO,"77607371",62,F,3629.78,2924.57,0,"1962-04-09"
"71853467832",GEDSON ROCHA VASCONCELOS,"PRAÇA FERNANDO, n.177","ALAMEDA DOS CORIMBATAS, n.317",GUANABARA,JUAZEIRO ,GOIÁS,"87707477",42,M,2362.77,4475.41,0,"1981-04-30"
"72027857566",PATRICIA ALMEIDA DOS SANTOS,"ALAMEDA DOS MANACÁS, n.280","ALAMEDA BOTAFOGO, n.366",JARDIM SÃO FERNANDO,SUMÉ ,ESPÍRITO SANTO,"63845519",26,F,2445.7,3471.19,0,"1997-06-14"
"72120164369",BARBARA RAMOS DE CARVALHO,"AVENIDA PADRE LEO LUNDERS, n.475","ALAMEDA CABRIUVAS, n.5",JARDIM NOSSA SENHORA AUXILIADORA,CASTANHEIRA ,PARÁ,"80702269",74,F,4390.51,4196.7,1,"1949-08-26"
"72402799170",MARIA APARECIDA DE OLIVEIRA,"AVENIDA ATALIBA PENTEADO, n.52","RUA ALAN KARDEC, n.143",JARDIM SANTA MÔNICA,POÇO DAS ANTAS ,ALAGOAS,"75651732",54,M,2128.41,4155.76,0,"1969-12-23"
"73411979882",SILVIA CALAZANS DE SOUZA ALBUQUERQUE,"PRAÇA IPÊS, n.77","ALAMEDA MARECHAL MASCARENHAS DE MORAES, n.325",PARQUE JAMBEIRO,TUPIRAMA ,PERNAMBUCO,"39944702",29,F,1507.16,3648.28,0,"1994-09-19"
"74406217987",VANESSA POUSEIRO DA SILVA,"AVENIDA ACÁCIO HONDA, n.334","ALAMEDA FLAMBOYANS, n.110",JARDIM PLANALTO,TEREZINHA ,SÃO PAULO,"06699128",64,M,2799.38,3223.65,1,"1959-05-23"
"74515235423",LUCIANA OLIVEIRA DOMINGUES,"ALAMEDA DOS PINHEIROS, n.172","ALAMEDA MANACÁS, n.276",JARDIM SANTA JUDITH,CUNHATAÍ ,PARÁ,"04130742",70,M,3911.32,4976.83,0,"1954-03-04"
"74733970520",ROSEMEIRE APARECIDA ALVES MEDEIROS,"ALAMEDA DAS ARAUCÁRIAS, n.68","AVENIDA LEO LUNDERS, n.241",JARDIM DO VOVÔ,TUPARETAMA ,CEARÁ,"99169524",56,F,4811.72,1608.08,1,"1967-09-08"
"75039137541",PRISCILA MALTEZ SOBRINHO,"PRAÇA SÃO FERNANDO, n.422","RUA ALAN KARDEC, n.134",JARDIM AURÉLIA,PASSA QUATRO ,AMAPÁ,"86821000",49,M,2041.27,506.6,0,"1974-11-22"
"75612834501",CAUÊ PRADO TEIXEIRA,"ALAMEDA DOS TAMÔIOS, n.294","PRAÇA DOS IPÊS, n.376",VILA 31 DE MARÇO,JAPORÃ ,SERGIPE,"55542715",27,M,1907.93,3228.24,0,"1996-09-14"
"75849240706",CAROLINA ARAÚJO DE ALMEIDA,"ALAMEDA AÇUCENAS, n.333","CAMINHO CURIÓS, n.3",JARDIM TAMOIO,PORTO ALEGRE DO TOCANTINS ,TOCANTINS,"68852829",80,M,1539.36,3005.31,0,"1944-01-10"
"76380101315",RAYANE CORRÊA DOS SANTOS,"AVENIDA PAULO FURLAN, n.417","AVENIDA PADRE LEO LUNDERS, n.468",RESIDENCIAL PARQUE BANDEIRANTES,CEDRO DO ABAETÉ ,MATO GROSSO,"84444017",34,M,3272.34,2974.52,0,"1989-10-13"
"78963813115","43 VERDINA MIRANDA DE ALMEIDA BETTINI","AVENIDA TENENTE OLYMPIO GUIGUER, n.182","ALAMEDA DOS GERÂNIOS, n.492",SÃO BERNARDO,NARANDIBA ,SÃO PAULO,"27770343",31,F,3579.08,2182.5,0,"1992-08-30"
"81322831590",LUCILIA APARECIDA CARDOSO DA SILVA,"ALAMEDA ACÁCIAS, n.390","CAMINHO DOS BEIJA-FLORES, n.67",BONFIM,RIO BONITO ,PIAUÍ,"91367001",28,F,3357.93,1353.48,0,"1995-08-25"
"81549137222",EFIGENIA DA SILVA COSTA,"AVENIDA DAS FLORES, n.129","AVENIDA NEWTON PRADO, n.43",PARQUE CAMÉLIAS,UNIÃO DO SUL ,AMAPÁ,"29850081",27,F,1903.79,2143.58,1,"1997-01-20"
"83586921419",ALESSANDRA APARECIDA MANTOVAN DA SILVA,"RUA ALVARO BARBOSA, n.203","PRAÇA DOS BANDEIRANTES, n.231",JARDIM SANTA MARCELINA,MAGALHÃES BARATA ,CEARÁ,"01206043",53,F,3066.58,1026.2,0,"1971-01-01"
"84044123549",MIRIÃ GONÇALVES CASTELANI,"ALAMEDA MATHILDE ARAIUM, n.477","PRAÇA ANTÔNIO, n.222",JARDIM FERNANDA II,GUABIRUBA ,AMAPÁ,"43661727",75,F,3229.72,564.52,0,"1949-02-13"
"84192960117",GLAUCILENE GONÇALVES SILVA SANTOS,"AVENIDA JOSÉ POZZI, n.176","RUA ALCEBÍADES BORTOLINI, n.51",JARDIM OURO BRANCO,CACHOEIRA PAULISTA ,ACRE,"75322264",25,M,4642.28,4982.97,0,"1998-05-24"
"84248247662",MARIA CUSTODIA FERREIRA,"RUA ALFREDO BIANCO, n.466","AVENIDA SANTO FERRARI, n.244",JARDIM SÃO GABRIEL,NOVO SANTO ANTÔNIO ,SÃO PAULO,"70351774",42,F,3142.15,503.0,0,"1981-05-25"
"85763149512",JUSSARA OLIVEIRA DA SILVA,"ALAMEDA DOS CAIAPÓS, n.194","ALAMEDA PINHEIROS, n.66",JARDIM GUARANI,RODEIRO ,RIO GRANDE DO SUL,"20836839",71,M,3334.94,3149.86,0,"1952-05-02"
"85803933489",JANAINA DIAS DO NASCIMENTO,"PRAÇA DAS LARANJEIRAS, n.312","AVENIDA PESCADORES, n.311",JARDIM PACAEMBU,ITANHÉM ,SÃO PAULO,"22600129",48,M,3170.48,197.74,0,"1975-09-18"
"88423874608",MARIA APARECIDA PERGER MENDES,"AVENIDA NAÇÕES, n.452","AVENIDA TENENTE OLYMPIO GUIGUER, n.57",PARQUE PRADO,CORONEL JOÃO PESSOA ,SANTA CATARINA,"38587210",33,M,3660.6,4461.29,1,"1990-10-01"
"88990615666",GABRIELE CHAGAS DE SOUZA,"PRAÇA DAS LARANJEIRAS, n.223","AVENIDA ATALIBA PENTEADO, n.3",CHÁCARA PRIMAVERA,BEQUIMÃO ,MATO GROSSO,"52228678",76,F,1043.95,919.09,0,"1947-09-14"
"89675396716",DÉBORA CAVALCANTE PEREIRA,"PASSEIO PIONEIROS, n.27","AVENIDA MARECHAL JOSÉ P. C. ALBUQUERQUE, n.355",PONTE PRETA,BELA CRUZ ,MATO GROSSO,"26469564",65,F,4330.38,4210.49,0,"1958-07-14"
"90012835347",MARINA BARRETO WEBER,"AVENIDA OLYMPIO GUIGUER, n.28","AVENIDA PADRE LEO LUNDERS, n.181",JARDIM PAULISTANO,CASIMIRO DE ABREU ,PERNAMBUCO,"32740141",67,M,2739.88,4508.03,0,"1956-07-26"
"91882835062",GRAZIELA REGINA SIBUCKS,"CAMINHO DAS GARÇAS, n.473","ALAMEDA DOS FLAMBOYANS, n.38",CAMPO DOS AMARAIS,JARDIM ,RORAIMA,"63822693",68,M,3518.17,3561.17,0,"1955-09-19"
"92005710052",EDINA CRISTHINA DA SILVA FERREIRA,"ALAMEDA DAS HORTÊNCIAS, n.275","ALAMEDA ARAUCÁRIAS, n.22",JARDIM LEONOR,SANTA RITA DE MINAS ,PARÁ,"31199014",76,M,3649.29,4852.23,0,"1948-03-16"
"92894184554",JENNIFFER MALUF ALBINO,"PASSEIO DOS PIONEIROS, n.366","ALAMEDA DOS GUARANIS, n.7",JARDIM DAS PALMEIRAS,SANTA RITA DO TOCANTINS ,ACRE,"87326428",47,M,1156.65,808.02,1,"1976-06-06"
"94366223191",HILDA REIS MANTOVAN,"ALAMEDA DOS CAETÉS, n.318","AVENIDA ÂNGELO BRUNO, n.156",JARDIM CARLOS LOURENÇO,SANTA CLARA DO SUL ,MATO GROSSO DO SUL,"53474306",23,M,1506.49,1318.11,1,"2000-12-15"
"97750271224",EDSON HIROAKI WATABE,"PRAÇA DOS BANDEIRANTES, n.347","AVENIDA JOAQUIM DUARTE DE OLIVEIRA, n.168",PARQUE OZIEL,BACURITUBA ,PARANÁ,"02038306",53,F,2768.68,1709.21,1,"1971-01-22"
"97839347790",ROSENI MARQUES LOBATO,"ALAMEDA MARGARIDAS, n.48","AVENIDA IVO XAVIER FERREIRA, n.350",JARDIM SÃO FERNANDO,FARO ,RIO GRANDE DO SUL,"98704061",77,F,1705.89,3528.9,1,"1946-06-26"
"98813084228",MELISSA EMÍDIO DA SILVA DE CARVALHO,"ALAMEDA JACARANDÁS, n.32","RUA AFONSO GUIMARÃES, n.413",PARQUE PRADO,SANTA CLARA D'OESTE ,CEARÁ,"50644912",34,F,4654.67,1444.25,1,"1989-09-16"
